"publication_date","district","state","country","confirmed","recovered","source"
"2020-04-10","Charlottenburg-Wilmersdorf","Berlin","Germany",557,346,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Friedrichshain-Kreuzberg","Berlin","Germany",387,270,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Lichtenberg","Berlin","Germany",171,100,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Marzahn-Hellersdorf","Berlin","Germany",163,75,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Mitte","Berlin","Germany",656,394,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Neukölln","Berlin","Germany",470,291,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Pankow","Berlin","Germany",442,266,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Reinickendorf","Berlin","Germany",344,171,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Spandau","Berlin","Germany",176,93,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Steglitz-Zehlendorf","Berlin","Germany",385,167,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Tempelhof-Schöneberg","Berlin","Germany",460,261,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
"2020-04-10","Treptow-Köpenick","Berlin","Germany",235,135,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919237.php"
