"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-16","Charlottenburg-Wilmersdorf","Berlin","Germany",1009,922,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Friedrichshain-Kreuzberg","Berlin","Germany",874,785,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Lichtenberg","Berlin","Germany",580,517,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Marzahn-Hellersdorf","Berlin","Germany",555,527,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Mitte","Berlin","Germany",1569,1395,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Neukölln","Berlin","Germany",1291,1133,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Pankow","Berlin","Germany",901,827,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Reinickendorf","Berlin","Germany",809,720,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Spandau","Berlin","Germany",575,519,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Steglitz-Zehlendorf","Berlin","Germany",669,637,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Tempelhof-Schöneberg","Berlin","Germany",960,868,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
"2020-08-16","Treptow-Köpenick","Berlin","Germany",460,423,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976884.php"
