"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-21","Charlottenburg-Wilmersdorf","Berlin","Germany",821,742,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Friedrichshain-Kreuzberg","Berlin","Germany",613,549,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Lichtenberg","Berlin","Germany",383,332,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Marzahn-Hellersdorf","Berlin","Germany",444,384,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Mitte","Berlin","Germany",1133,1010,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Neukölln","Berlin","Germany",946,763,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Pankow","Berlin","Germany",754,685,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Reinickendorf","Berlin","Germany",607,514,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Spandau","Berlin","Germany",416,341,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Steglitz-Zehlendorf","Berlin","Germany",575,542,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Tempelhof-Schöneberg","Berlin","Germany",754,677,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
"2020-06-21","Treptow-Köpenick","Berlin","Germany",386,347,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.948471.php"
