"publication_date","district","state","country","confirmed","recovered","source"
"2020-07-30","Charlottenburg-Wilmersdorf","Berlin","Germany",916,858,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Friedrichshain-Kreuzberg","Berlin","Germany",746,707,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Lichtenberg","Berlin","Germany",525,478,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Marzahn-Hellersdorf","Berlin","Germany",516,494,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Mitte","Berlin","Germany",1346,1266,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Neukölln","Berlin","Germany",1131,1049,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Pankow","Berlin","Germany",846,775,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Reinickendorf","Berlin","Germany",725,664,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Spandau","Berlin","Germany",512,461,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Steglitz-Zehlendorf","Berlin","Germany",637,601,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Tempelhof-Schöneberg","Berlin","Germany",873,818,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
"2020-07-30","Treptow-Köpenick","Berlin","Germany",418,401,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.967357.php"
