"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-28","Charlottenburg-Wilmersdorf","Berlin","Germany",840,767,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Friedrichshain-Kreuzberg","Berlin","Germany",662,571,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Lichtenberg","Berlin","Germany",410,353,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Marzahn-Hellersdorf","Berlin","Germany",457,397,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Mitte","Berlin","Germany",1176,1066,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Neukölln","Berlin","Germany",999,828,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Pankow","Berlin","Germany",771,705,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Reinickendorf","Berlin","Germany",636,545,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Spandau","Berlin","Germany",445,372,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Steglitz-Zehlendorf","Berlin","Germany",588,553,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Tempelhof-Schöneberg","Berlin","Germany",791,700,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
"2020-06-28","Treptow-Köpenick","Berlin","Germany",400,360,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952273.php"
