"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-16","Charlottenburg-Wilmersdorf","Berlin","Germany",778,730,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Friedrichshain-Kreuzberg","Berlin","Germany",573,542,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Lichtenberg","Berlin","Germany",369,316,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Marzahn-Hellersdorf","Berlin","Germany",404,374,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Mitte","Berlin","Germany",1078,989,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Neukölln","Berlin","Germany",864,735,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Pankow","Berlin","Germany",736,676,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Reinickendorf","Berlin","Germany",568,504,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Spandau","Berlin","Germany",371,309,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Steglitz-Zehlendorf","Berlin","Germany",568,535,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Tempelhof-Schöneberg","Berlin","Germany",722,671,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
"2020-06-16","Treptow-Köpenick","Berlin","Germany",370,344,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.946222.php"
