"publication_date","district","state","country","confirmed","recovered","source"
"2020-07-12","Charlottenburg-Wilmersdorf","Berlin","Germany",865,814,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Friedrichshain-Kreuzberg","Berlin","Germany",705,654,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Lichtenberg","Berlin","Germany",470,398,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Marzahn-Hellersdorf","Berlin","Germany",494,448,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Mitte","Berlin","Germany",1267,1175,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Neukölln","Berlin","Germany",1064,968,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Pankow","Berlin","Germany",799,740,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Reinickendorf","Berlin","Germany",672,620,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Spandau","Berlin","Germany",465,440,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Steglitz-Zehlendorf","Berlin","Germany",604,577,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Tempelhof-Schöneberg","Berlin","Germany",824,768,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
"2020-07-12","Treptow-Köpenick","Berlin","Germany",408,393,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.959491.php"
