"publication_date","district","state","country","confirmed","recovered","source"
"2020-07-14","Charlottenburg-Wilmersdorf","Berlin","Germany",866,819,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Friedrichshain-Kreuzberg","Berlin","Germany",706,666,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Lichtenberg","Berlin","Germany",483,406,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Marzahn-Hellersdorf","Berlin","Germany",495,454,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Mitte","Berlin","Germany",1276,1184,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Neukölln","Berlin","Germany",1063,977,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Pankow","Berlin","Germany",805,745,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Reinickendorf","Berlin","Germany",674,629,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Spandau","Berlin","Germany",465,444,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Steglitz-Zehlendorf","Berlin","Germany",606,577,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Tempelhof-Schöneberg","Berlin","Germany",826,774,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
"2020-07-14","Treptow-Köpenick","Berlin","Germany",408,394,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.960490.php"
