"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-29","Charlottenburg-Wilmersdorf","Berlin","Germany",842,770,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Friedrichshain-Kreuzberg","Berlin","Germany",666,578,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Lichtenberg","Berlin","Germany",419,354,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Marzahn-Hellersdorf","Berlin","Germany",458,403,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Mitte","Berlin","Germany",1188,1073,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Neukölln","Berlin","Germany",1011,840,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Pankow","Berlin","Germany",774,707,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Reinickendorf","Berlin","Germany",636,550,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Spandau","Berlin","Germany",445,374,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Steglitz-Zehlendorf","Berlin","Germany",588,553,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Tempelhof-Schöneberg","Berlin","Germany",791,704,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
"2020-06-29","Treptow-Köpenick","Berlin","Germany",401,366,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.953262.php"
