"publication_date","district","state","country","confirmed","recovered","source"
"2020-05-11","Charlottenburg-Wilmersdorf","Berlin","Germany",708,642,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Friedrichshain-Kreuzberg","Berlin","Germany",484,451,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Lichtenberg","Berlin","Germany",273,220,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Marzahn-Hellersdorf","Berlin","Germany",333,300,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Mitte","Berlin","Germany",912,839,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Neukölln","Berlin","Germany",681,605,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Pankow","Berlin","Germany",646,562,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Reinickendorf","Berlin","Germany",479,422,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Spandau","Berlin","Germany",261,223,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Steglitz-Zehlendorf","Berlin","Germany",516,462,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Tempelhof-Schöneberg","Berlin","Germany",643,560,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
"2020-05-11","Treptow-Köpenick","Berlin","Germany",333,300,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930549.php"
