"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-08","Charlottenburg-Wilmersdorf","Berlin","Germany",757,720,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Friedrichshain-Kreuzberg","Berlin","Germany",558,514,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Lichtenberg","Berlin","Germany",349,295,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Marzahn-Hellersdorf","Berlin","Germany",382,357,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Mitte","Berlin","Germany",1011,956,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Neukölln","Berlin","Germany",783,706,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Pankow","Berlin","Germany",720,663,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Reinickendorf","Berlin","Germany",530,482,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Spandau","Berlin","Germany",340,291,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Steglitz-Zehlendorf","Berlin","Germany",561,529,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Tempelhof-Schöneberg","Berlin","Germany",691,641,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
"2020-06-08","Treptow-Köpenick","Berlin","Germany",359,341,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.942095.php"
