"publication_date","district","state","country","confirmed","recovered","source"
"2020-03-09","Charlottenburg-Wilmersdorf","Berlin","Germany",9,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Friedrichshain-Kreuzberg","Berlin","Germany",9,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Lichtenberg","Berlin","Germany",1,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Marzahn-Hellersdorf","Berlin","Germany",1,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Mitte","Berlin","Germany",8,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Neukölln","Berlin","Germany",2,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Pankow","Berlin","Germany",5,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Reinickendorf","Berlin","Germany",3,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Spandau","Berlin","Germany",2,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Steglitz-Zehlendorf","Berlin","Germany",3,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Tempelhof-Schöneberg","Berlin","Germany",5,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
"2020-03-09","Treptow-Köpenick","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.904264.php"
