"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-25","Charlottenburg-Wilmersdorf","Berlin","Germany",834,757,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Friedrichshain-Kreuzberg","Berlin","Germany",657,564,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Lichtenberg","Berlin","Germany",408,345,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Marzahn-Hellersdorf","Berlin","Germany",452,392,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Mitte","Berlin","Germany",1164,1035,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Neukölln","Berlin","Germany",982,811,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Pankow","Berlin","Germany",769,699,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Reinickendorf","Berlin","Germany",632,528,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Spandau","Berlin","Germany",430,358,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Steglitz-Zehlendorf","Berlin","Germany",582,549,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Tempelhof-Schöneberg","Berlin","Germany",787,691,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
"2020-06-25","Treptow-Köpenick","Berlin","Germany",398,352,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.951449.php"
