"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-23","Charlottenburg-Wilmersdorf","Berlin","Germany",1057,957,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Friedrichshain-Kreuzberg","Berlin","Germany",930,825,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Lichtenberg","Berlin","Germany",611,547,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Marzahn-Hellersdorf","Berlin","Germany",573,544,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Mitte","Berlin","Germany",1656,1495,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Neukölln","Berlin","Germany",1348,1199,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Pankow","Berlin","Germany",933,856,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Reinickendorf","Berlin","Germany",840,747,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Spandau","Berlin","Germany",596,555,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Steglitz-Zehlendorf","Berlin","Germany",716,651,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Tempelhof-Schöneberg","Berlin","Germany",993,900,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
"2020-08-23","Treptow-Köpenick","Berlin","Germany",474,445,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.979424.php"
