"publication_date","district","state","country","confirmed","recovered","source"
"2020-07-17","Charlottenburg-Wilmersdorf","Berlin","Germany",874,832,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Friedrichshain-Kreuzberg","Berlin","Germany",709,683,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Lichtenberg","Berlin","Germany",495,416,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Marzahn-Hellersdorf","Berlin","Germany",499,463,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Mitte","Berlin","Germany",1282,1208,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Neukölln","Berlin","Germany",1081,995,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Pankow","Berlin","Germany",806,752,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Reinickendorf","Berlin","Germany",676,641,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Spandau","Berlin","Germany",465,448,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Steglitz-Zehlendorf","Berlin","Germany",614,582,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Tempelhof-Schöneberg","Berlin","Germany",837,784,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
"2020-07-17","Treptow-Köpenick","Berlin","Germany",409,395,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.961976.php"
