"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-15","Charlottenburg-Wilmersdorf","Berlin","Germany",1009,921,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Friedrichshain-Kreuzberg","Berlin","Germany",871,781,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Lichtenberg","Berlin","Germany",580,515,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Marzahn-Hellersdorf","Berlin","Germany",555,525,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Mitte","Berlin","Germany",1569,1386,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Neukölln","Berlin","Germany",1291,1131,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Pankow","Berlin","Germany",901,825,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Reinickendorf","Berlin","Germany",804,715,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Spandau","Berlin","Germany",573,519,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Steglitz-Zehlendorf","Berlin","Germany",669,635,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Tempelhof-Schöneberg","Berlin","Germany",955,868,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
"2020-08-15","Treptow-Köpenick","Berlin","Germany",460,418,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976837.php"
