"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-01","Charlottenburg-Wilmersdorf","Berlin","Germany",750,708,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Friedrichshain-Kreuzberg","Berlin","Germany",528,497,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Lichtenberg","Berlin","Germany",329,273,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Marzahn-Hellersdorf","Berlin","Germany",369,343,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Mitte","Berlin","Germany",986,935,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Neukölln","Berlin","Germany",759,695,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Pankow","Berlin","Germany",705,637,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Reinickendorf","Berlin","Germany",518,470,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Spandau","Berlin","Germany",312,281,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Steglitz-Zehlendorf","Berlin","Germany",550,522,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Tempelhof-Schöneberg","Berlin","Germany",679,626,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
"2020-06-01","Treptow-Köpenick","Berlin","Germany",353,332,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.939508.php"
