"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-18","Charlottenburg-Wilmersdorf","Berlin","Germany",1029,940,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Friedrichshain-Kreuzberg","Berlin","Germany",886,793,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Lichtenberg","Berlin","Germany",592,525,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Marzahn-Hellersdorf","Berlin","Germany",560,532,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Mitte","Berlin","Germany",1596,1412,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Neukölln","Berlin","Germany",1317,1144,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Pankow","Berlin","Germany",915,833,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Reinickendorf","Berlin","Germany",814,726,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Spandau","Berlin","Germany",577,529,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Steglitz-Zehlendorf","Berlin","Germany",678,640,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Tempelhof-Schöneberg","Berlin","Germany",966,873,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
"2020-08-18","Treptow-Köpenick","Berlin","Germany",463,429,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.977983.php"
