"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-22","Charlottenburg-Wilmersdorf","Berlin","Germany",821,747,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Friedrichshain-Kreuzberg","Berlin","Germany",643,549,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Lichtenberg","Berlin","Germany",390,335,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Marzahn-Hellersdorf","Berlin","Germany",444,386,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Mitte","Berlin","Germany",1142,1013,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Neukölln","Berlin","Germany",957,765,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Pankow","Berlin","Germany",756,686,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Reinickendorf","Berlin","Germany",610,516,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Spandau","Berlin","Germany",422,346,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Steglitz-Zehlendorf","Berlin","Germany",577,546,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Tempelhof-Schöneberg","Berlin","Germany",764,681,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
"2020-06-22","Treptow-Köpenick","Berlin","Germany",389,350,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.949169.php"
