"publication_date","district","state","country","confirmed","recovered","source"
"2020-03-01","Charlottenburg-Wilmersdorf","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Friedrichshain-Kreuzberg","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Lichtenberg","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Marzahn-Hellersdorf","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Mitte","Berlin","Germany",1,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Neukölln","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Pankow","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Reinickendorf","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Spandau","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Steglitz-Zehlendorf","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Tempelhof-Schöneberg","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
"2020-03-01","Treptow-Köpenick","Berlin","Germany","","","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php"
