"publication_date","district","state","country","confirmed","recovered","source"
"2020-03-17","Charlottenburg-Wilmersdorf","Berlin","Germany",57,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Friedrichshain-Kreuzberg","Berlin","Germany",40,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Lichtenberg","Berlin","Germany",16,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Marzahn-Hellersdorf","Berlin","Germany",14,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Mitte","Berlin","Germany",59,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Neukölln","Berlin","Germany",24,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Pankow","Berlin","Germany",49,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Reinickendorf","Berlin","Germany",13,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Spandau","Berlin","Germany",11,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Steglitz-Zehlendorf","Berlin","Germany",47,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Tempelhof-Schöneberg","Berlin","Germany",34,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
"2020-03-17","Treptow-Köpenick","Berlin","Germany",19,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php"
