"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-04","Charlottenburg-Wilmersdorf","Berlin","Germany",753,718,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Friedrichshain-Kreuzberg","Berlin","Germany",551,509,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Lichtenberg","Berlin","Germany",340,279,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Marzahn-Hellersdorf","Berlin","Germany",379,346,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Mitte","Berlin","Germany",998,943,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Neukölln","Berlin","Germany",763,700,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Pankow","Berlin","Germany",713,655,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Reinickendorf","Berlin","Germany",523,476,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Spandau","Berlin","Germany",327,288,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Steglitz-Zehlendorf","Berlin","Germany",557,528,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Tempelhof-Schöneberg","Berlin","Germany",688,633,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
"2020-06-04","Treptow-Köpenick","Berlin","Germany",353,337,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.941005.php"
