"publication_date","district","state","country","confirmed","recovered","source"
"2020-03-29","Charlottenburg-Wilmersdorf","Berlin","Germany",302,105,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Friedrichshain-Kreuzberg","Berlin","Germany",262,80,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Lichtenberg","Berlin","Germany",90,22,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Marzahn-Hellersdorf","Berlin","Germany",80,26,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Mitte","Berlin","Germany",398,132,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Neukölln","Berlin","Germany",248,110,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Pankow","Berlin","Germany",252,87,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Reinickendorf","Berlin","Germany",143,74,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Spandau","Berlin","Germany",90,27,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Steglitz-Zehlendorf","Berlin","Germany",197,33,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Tempelhof-Schöneberg","Berlin","Germany",257,96,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
"2020-03-29","Treptow-Köpenick","Berlin","Germany",143,53,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.913123.php"
