"publication_date","district","state","country","confirmed","recovered","source"
"2020-05-09","Charlottenburg-Wilmersdorf","Berlin","Germany",708,636,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Friedrichshain-Kreuzberg","Berlin","Germany",484,445,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Lichtenberg","Berlin","Germany",273,215,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Marzahn-Hellersdorf","Berlin","Germany",330,287,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Mitte","Berlin","Germany",910,825,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Neukölln","Berlin","Germany",681,597,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Pankow","Berlin","Germany",645,556,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Reinickendorf","Berlin","Germany",478,408,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Spandau","Berlin","Germany",260,221,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Steglitz-Zehlendorf","Berlin","Germany",515,446,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Tempelhof-Schöneberg","Berlin","Germany",640,552,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
"2020-05-09","Treptow-Köpenick","Berlin","Germany",332,289,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.930009.php"
