"publication_date","district","state","country","confirmed","recovered","source"
"2020-05-26","Charlottenburg-Wilmersdorf","Berlin","Germany",741,694,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Friedrichshain-Kreuzberg","Berlin","Germany",521,482,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Lichtenberg","Berlin","Germany",299,255,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Marzahn-Hellersdorf","Berlin","Germany",354,330,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Mitte","Berlin","Germany",960,923,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Neukölln","Berlin","Germany",740,675,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Pankow","Berlin","Germany",699,610,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Reinickendorf","Berlin","Germany",498,456,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Spandau","Berlin","Germany",300,258,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Steglitz-Zehlendorf","Berlin","Germany",545,500,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Tempelhof-Schöneberg","Berlin","Germany",668,611,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
"2020-05-26","Treptow-Köpenick","Berlin","Germany",347,329,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.938001.php"
