"publication_date","district","state","country","confirmed","recovered","source"
"2020-04-11","Charlottenburg-Wilmersdorf","Berlin","Germany",558,355,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Friedrichshain-Kreuzberg","Berlin","Germany",390,270,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Lichtenberg","Berlin","Germany",177,102,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Marzahn-Hellersdorf","Berlin","Germany",167,78,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Mitte","Berlin","Germany",690,405,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Neukölln","Berlin","Germany",474,296,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Pankow","Berlin","Germany",450,267,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Reinickendorf","Berlin","Germany",354,181,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Spandau","Berlin","Germany",180,98,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Steglitz-Zehlendorf","Berlin","Germany",401,173,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Tempelhof-Schöneberg","Berlin","Germany",474,267,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
"2020-04-11","Treptow-Köpenick","Berlin","Germany",238,143,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.919248.php"
