"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-01","Charlottenburg-Wilmersdorf","Berlin","Germany",923,862,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Friedrichshain-Kreuzberg","Berlin","Germany",762,711,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Lichtenberg","Berlin","Germany",526,483,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Marzahn-Hellersdorf","Berlin","Germany",526,497,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Mitte","Berlin","Germany",1375,1279,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Neukölln","Berlin","Germany",1152,1054,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Pankow","Berlin","Germany",851,778,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Reinickendorf","Berlin","Germany",734,672,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Spandau","Berlin","Germany",526,464,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Steglitz-Zehlendorf","Berlin","Germany",644,602,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Tempelhof-Schöneberg","Berlin","Germany",880,822,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
"2020-08-01","Treptow-Köpenick","Berlin","Germany",419,403,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.968117.php"
