"publication_date","district","state","country","confirmed","recovered","source"
"2020-04-19","Charlottenburg-Wilmersdorf","Berlin","Germany",615,531,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Friedrichshain-Kreuzberg","Berlin","Germany",425,362,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Lichtenberg","Berlin","Germany",196,136,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Marzahn-Hellersdorf","Berlin","Germany",216,144,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Mitte","Berlin","Germany",798,597,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Neukölln","Berlin","Germany",546,429,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Pankow","Berlin","Germany",546,446,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Reinickendorf","Berlin","Germany",419,279,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Spandau","Berlin","Germany",215,146,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Steglitz-Zehlendorf","Berlin","Germany",445,309,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Tempelhof-Schöneberg","Berlin","Germany",536,437,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
"2020-04-19","Treptow-Köpenick","Berlin","Germany",268,199,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.922235.php"
