"publication_date","district","state","country","confirmed","recovered","source"
"2020-05-05","Charlottenburg-Wilmersdorf","Berlin","Germany",691,612,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Friedrichshain-Kreuzberg","Berlin","Germany",470,430,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Lichtenberg","Berlin","Germany",267,188,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Marzahn-Hellersdorf","Berlin","Germany",319,258,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Mitte","Berlin","Germany",888,799,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Neukölln","Berlin","Germany",662,569,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Pankow","Berlin","Germany",629,524,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Reinickendorf","Berlin","Germany",470,385,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Spandau","Berlin","Germany",248,214,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Steglitz-Zehlendorf","Berlin","Germany",505,433,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Tempelhof-Schöneberg","Berlin","Germany",618,529,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
"2020-05-05","Treptow-Köpenick","Berlin","Germany",319,277,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.928753.php"
