"publication_date","district","state","country","confirmed","recovered","source"
"2020-07-07","Charlottenburg-Wilmersdorf","Berlin","Germany",858,805,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Friedrichshain-Kreuzberg","Berlin","Germany",692,639,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Lichtenberg","Berlin","Germany",444,381,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Marzahn-Hellersdorf","Berlin","Germany",477,440,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Mitte","Berlin","Germany",1250,1146,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Neukölln","Berlin","Germany",1044,905,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Pankow","Berlin","Germany",794,731,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Reinickendorf","Berlin","Germany",663,603,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Spandau","Berlin","Germany",458,422,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Steglitz-Zehlendorf","Berlin","Germany",597,571,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Tempelhof-Schöneberg","Berlin","Germany",818,751,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
"2020-07-07","Treptow-Köpenick","Berlin","Germany",406,389,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.957600.php"
