"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-13","Charlottenburg-Wilmersdorf","Berlin","Germany",994,905,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Friedrichshain-Kreuzberg","Berlin","Germany",851,765,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Lichtenberg","Berlin","Germany",579,508,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Marzahn-Hellersdorf","Berlin","Germany",553,521,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Mitte","Berlin","Germany",1543,1365,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Neukölln","Berlin","Germany",1269,1121,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Pankow","Berlin","Germany",899,819,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Reinickendorf","Berlin","Germany",792,711,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Spandau","Berlin","Germany",565,513,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Steglitz-Zehlendorf","Berlin","Germany",666,633,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Tempelhof-Schöneberg","Berlin","Germany",941,858,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
"2020-08-13","Treptow-Köpenick","Berlin","Germany",454,413,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.976046.php"
