"publication_date","district","state","country","confirmed","recovered","source"
"2020-05-25","Charlottenburg-Wilmersdorf","Berlin","Germany",740,693,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Friedrichshain-Kreuzberg","Berlin","Germany",519,481,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Lichtenberg","Berlin","Germany",290,245,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Marzahn-Hellersdorf","Berlin","Germany",353,330,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Mitte","Berlin","Germany",957,917,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Neukölln","Berlin","Germany",740,668,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Pankow","Berlin","Germany",699,605,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Reinickendorf","Berlin","Germany",496,454,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Spandau","Berlin","Germany",300,257,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Steglitz-Zehlendorf","Berlin","Germany",544,499,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Tempelhof-Schöneberg","Berlin","Germany",667,610,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
"2020-05-25","Treptow-Köpenick","Berlin","Germany",346,327,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.937528.php"
