"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-27","Charlottenburg-Wilmersdorf","Berlin","Germany",840,765,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Friedrichshain-Kreuzberg","Berlin","Germany",660,571,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Lichtenberg","Berlin","Germany",410,350,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Marzahn-Hellersdorf","Berlin","Germany",457,397,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Mitte","Berlin","Germany",1176,1065,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Neukölln","Berlin","Germany",999,825,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Pankow","Berlin","Germany",771,703,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Reinickendorf","Berlin","Germany",635,540,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Spandau","Berlin","Germany",440,370,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Steglitz-Zehlendorf","Berlin","Germany",588,551,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Tempelhof-Schöneberg","Berlin","Germany",791,700,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
"2020-06-27","Treptow-Köpenick","Berlin","Germany",400,359,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.952252.php"
