"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-07","Charlottenburg-Wilmersdorf","Berlin","Germany",969,881,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Friedrichshain-Kreuzberg","Berlin","Germany",789,729,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Lichtenberg","Berlin","Germany",545,500,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Marzahn-Hellersdorf","Berlin","Germany",537,509,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Mitte","Berlin","Germany",1441,1325,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Neukölln","Berlin","Germany",1193,1085,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Pankow","Berlin","Germany",872,802,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Reinickendorf","Berlin","Germany",748,700,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Spandau","Berlin","Germany",541,489,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Steglitz-Zehlendorf","Berlin","Germany",657,622,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Tempelhof-Schöneberg","Berlin","Germany",906,839,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
"2020-08-07","Treptow-Köpenick","Berlin","Germany",441,407,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.972901.php"
