"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-26","Charlottenburg-Wilmersdorf","Berlin","Germany",1075,975,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Friedrichshain-Kreuzberg","Berlin","Germany",944,863,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Lichtenberg","Berlin","Germany",629,563,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Marzahn-Hellersdorf","Berlin","Germany",575,549,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Mitte","Berlin","Germany",1690,1537,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Neukölln","Berlin","Germany",1383,1235,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Pankow","Berlin","Germany",958,875,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Reinickendorf","Berlin","Germany",850,777,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Spandau","Berlin","Germany",606,564,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Steglitz-Zehlendorf","Berlin","Germany",732,661,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Tempelhof-Schöneberg","Berlin","Germany",1010,923,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
"2020-08-26","Treptow-Köpenick","Berlin","Germany",481,450,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.981305.php"
