"publication_date","district","state","country","confirmed","recovered","source"
"2020-06-15","Charlottenburg-Wilmersdorf","Berlin","Germany",778,730,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Friedrichshain-Kreuzberg","Berlin","Germany",572,536,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Lichtenberg","Berlin","Germany",367,314,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Marzahn-Hellersdorf","Berlin","Germany",400,370,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Mitte","Berlin","Germany",1062,985,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Neukölln","Berlin","Germany",863,728,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Pankow","Berlin","Germany",735,675,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Reinickendorf","Berlin","Germany",564,501,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Spandau","Berlin","Germany",370,305,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Steglitz-Zehlendorf","Berlin","Germany",567,534,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Tempelhof-Schöneberg","Berlin","Germany",721,664,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
"2020-06-15","Treptow-Köpenick","Berlin","Germany",369,343,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.945284.php"
