"publication_date","district","state","country","confirmed","recovered","source"
"2020-04-15","Charlottenburg-Wilmersdorf","Berlin","Germany",588,417,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Friedrichshain-Kreuzberg","Berlin","Germany",402,313,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Lichtenberg","Berlin","Germany",183,129,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Marzahn-Hellersdorf","Berlin","Germany",189,109,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Mitte","Berlin","Germany",748,533,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Neukölln","Berlin","Germany",501,359,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Pankow","Berlin","Germany",487,337,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Reinickendorf","Berlin","Germany",397,231,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Spandau","Berlin","Germany",195,124,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Steglitz-Zehlendorf","Berlin","Germany",423,252,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Tempelhof-Schöneberg","Berlin","Germany",505,351,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
"2020-04-15","Treptow-Köpenick","Berlin","Germany",252,180,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.920364.php"
