"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-12","Charlottenburg-Wilmersdorf","Berlin","Germany",991,901,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Friedrichshain-Kreuzberg","Berlin","Germany",826,760,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Lichtenberg","Berlin","Germany",577,508,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Marzahn-Hellersdorf","Berlin","Germany",552,516,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Mitte","Berlin","Germany",1516,1357,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Neukölln","Berlin","Germany",1244,1114,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Pankow","Berlin","Germany",888,819,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Reinickendorf","Berlin","Germany",778,708,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Spandau","Berlin","Germany",559,508,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Steglitz-Zehlendorf","Berlin","Germany",664,632,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Tempelhof-Schöneberg","Berlin","Germany",934,854,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
"2020-08-12","Treptow-Köpenick","Berlin","Germany",446,411,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.974832.php"
