"publication_date","district","state","country","confirmed","recovered","source"
"2020-08-03","Charlottenburg-Wilmersdorf","Berlin","Germany",927,868,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Friedrichshain-Kreuzberg","Berlin","Germany",767,716,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Lichtenberg","Berlin","Germany",531,487,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Marzahn-Hellersdorf","Berlin","Germany",527,501,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Mitte","Berlin","Germany",1384,1291,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Neukölln","Berlin","Germany",1162,1064,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Pankow","Berlin","Germany",851,785,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Reinickendorf","Berlin","Germany",735,682,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Spandau","Berlin","Germany",529,474,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Steglitz-Zehlendorf","Berlin","Germany",646,609,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Tempelhof-Schöneberg","Berlin","Germany",882,825,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
"2020-08-03","Treptow-Köpenick","Berlin","Germany",425,403,"https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.969147.php"
